city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat,Name,id
1608830,14260,Boise City,Idaho,16,205671,811336,-116.2311433,43.60068478,"Boise City, Idaho",164
2629000,22420,Flint,Michigan,26,102434,401983,-83.69216923,43.02352675,"Flint, Michigan",165
541000,30780,Little Rock,Arkansas,5,193524,757615,-92.35794602,34.7255075,"Little Rock, Arkansas",166
126896,22520,Florence,Alabama,1,39319,153911,-87.66540497,34.83026449,"Florence, Alabama",167
3345140,31700,Manchester,New Hampshire,33,109565,426594,-71.44470348,42.98477197,"Manchester, New Hampshire",168
5107784,13980,Blacksburg,Virginia,51,42620,165812,-80.42786033,37.22998561,"Blacksburg, Virginia",169
5377105,48300,Wenatchee,Washington,53,31925,124118,-120.3286347,47.43380111,"Wenatchee, Washington",170
4839148,28660,Killeen,Texas,48,127921,496228,-97.72971046,31.07545876,"Killeen, Texas",171
681666,46700,Vallejo,California,6,115942,448747,-122.2359016,38.1133279,"Vallejo, California",172
4716920,18260,Cookeville,Tennessee,47,30435,117415,-85.51137089,36.14842522,"Cookeville, Tennessee",173
1738934,28100,Kankakee,Illinois,17,27537,106074,-87.86432414,41.1020159,"Kankakee, Illinois",174
4285312,48700,Williamsport,Pennsylvania,42,29381,113104,-77.03713827,41.239772,"Williamsport, Pennsylvania",175
682954,47300,Visalia,California,6,124442,477544,-119.3269315,36.32764245,"Visalia, California",176
1919000,19340,Davenport,Iowa,19,99685,379374,-90.6052399,41.55628164,"Davenport, Iowa",177
2205000,12940,Baton Rouge,Louisiana,22,229493,873060,-91.13103323,30.44180874,"Baton Rouge, Louisiana",178
832155,24540,Greeley,Colorado,8,92889,350176,-104.7705429,40.41516016,"Greeley, Colorado",179
2831020,25620,Hattiesburg,Mississippi,28,45989,173359,-89.31696938,31.30735978,"Hattiesburg, Mississippi",180
4273808,44300,State College,Pennsylvania,42,42034,158425,-77.85679059,40.79095464,"State College, Pennsylvania",181
3712000,16740,Charlotte,North Carolina,37,731424,2756069,-80.8304509,35.2076745,"Charlotte, North Carolina",182
4867496,43300,Sherman,Texas,48,38521,143131,-96.61949609,33.62649999,"Sherman, Texas",183
3755000,39580,Raleigh,North Carolina,37,403892,1484338,-78.64379531,35.83232398,"Raleigh, North Carolina",184
646898,32900,Merced,California,6,78958,290014,-120.4778719,37.30570221,"Merced, California",185
2937592,27900,Joplin,Missouri,29,50150,184086,-94.50059139,37.07587519,"Joplin, Missouri",186
2638640,26090,Holland,Michigan,26,33051,121210,-86.09844481,42.76772676,"Holland, Michigan",187
2670520,40980,Saginaw,Michigan,26,51508,188330,-83.95007412,43.41989252,"Saginaw, Michigan",188
3314200,18180,Concord,New Hampshire,33,42695,156020,-71.55952881,43.23052387,"Concord, New Hampshire",189
2255000,35380,New Orleans,Louisiana,22,343829,1246176,-89.92901228,30.06863571,"New Orleans, Louisiana",190
4843888,30980,Longview,Texas,48,80455,291219,-94.76216117,32.51921328,"Longview, Texas",191
1921000,19780,Des Moines,Iowa,19,203433,729053,-93.61049335,41.57245354,"Des Moines, Iowa",192
1848798,33140,Michigan City,Indiana,18,31479,111675,-86.87052807,41.7098187,"Michigan City, Indiana",193
3709060,15500,Burlington,North Carolina,37,49963,176353,-79.46876609,36.07619907,"Burlington, North Carolina",194
1344340,29300,LaGrange,Georgia,13,29588,104279,-85.03838629,33.02741363,"LaGrange, Georgia",195
2642160,28020,Kalamazoo,Michigan,26,74262,261173,-85.58815484,42.27486836,"Kalamazoo, Michigan",196
3901000,10420,Akron,Ohio,39,199110,697627,-81.52188382,41.07978704,"Akron, Ohio",197
1714000,16980,Chicago,Illinois,17,2695598,9441957,-87.68590657,41.83705825,"Chicago, Illinois",198
4835000,26420,Houston,Texas,48,2099451,7340118,-95.3905629,29.7865324,"Houston, Texas",199
3638077,27060,Ithaca,New York,36,30014,104777,-76.50318346,42.44415571,"Ithaca, New York",200
2937000,27620,Jefferson City,Missouri,29,43079,150350,-92.17590939,38.56764263,"Jefferson City, Missouri",201
5147672,31340,Lynchburg,Virginia,51,75568,263613,-79.19085547,37.40025567,"Lynchburg, Virginia",202
2165226,40080,Richmond,Kentucky,21,31364,109231,-84.29255521,37.73057981,"Richmond, Kentucky",203
455000,38060,Phoenix,Arizona,4,1445632,5015678,-112.0890618,33.57150121,"Phoenix, Arizona",204
1759000,37900,Peoria,Illinois,17,115007,396466,-89.61553182,40.75204013,"Peoria, Illinois",205
4714000,16860,Chattanooga,Tennessee,47,167674,574507,-85.24878567,35.06567472,"Chattanooga, Tennessee",206
4752006,34980,Nashville-Davidson metropolitan government (balance),Tennessee,47,601222,2046828,-86.78419126,36.17129472,"Nashville-Davidson metropolitan government (balance), Tennessee",207
644000,31080,Los Angeles,California,6,3792621,12872322,-118.4064666,34.1134718,"Los Angeles, California",208
103076,12220,Auburn,Alabama,1,53380,180773,-85.48985117,32.60863059,"Auburn, Alabama",209
2717000,20260,Duluth,Minnesota,27,86265,291323,-92.13938447,46.7755632,"Duluth, Minnesota",210
1840788,29200,Lafayette,Indiana,18,67140,226452,-86.85930314,40.399031,"Lafayette, Indiana",211
5502375,11540,Appleton,Wisconsin,55,72623,244845,-88.38945488,44.27736407,"Appleton, Wisconsin",212
807850,14500,Boulder,Colorado,8,97385,327468,-105.2523375,40.02486002,"Boulder, Colorado",213
2836000,27140,Jackson,Mississippi,28,173514,583197,-90.21250491,32.31620623,"Jackson, Mississippi",214
3008950,14580,Bozeman,Montana,30,37280,124857,-111.0549268,45.68281439,"Bozeman, Montana",215
4570405,44940,Sumter,South Carolina,45,40524,134925,-80.39292937,33.93916653,"Sumter, South Carolina",216
4738320,27740,Johnson City,Tennessee,47,63152,210256,-82.38031111,36.34056824,"Johnson City, Tennessee",217
4807000,13140,Beaumont,Texas,48,118296,393575,-94.14509075,30.08488669,"Beaumont, Texas",218
5168000,40220,Roanoke,Virginia,51,97032,314340,-79.95804126,37.27847139,"Roanoke, Virginia",219
4945860,30860,Logan,Utah,49,48174,155362,-111.8419211,41.7400292,"Logan, Utah",220
3726880,24140,Goldsboro,North Carolina,37,36437,117286,-77.9719796,35.37773249,"Goldsboro, North Carolina",221
2603000,11460,Ann Arbor,Michigan,26,113934,366376,-83.73120287,42.27549064,"Ann Arbor, Michigan",222
1871000,43780,South Bend,Indiana,18,101168,323637,-86.26912832,41.67705724,"South Bend, Indiana",223
2108902,14540,Bowling Green,Kentucky,21,58067,185682,-86.43749449,36.97148782,"Bowling Green, Kentucky",224
1304204,12260,Augusta-Richmond County,Georgia,13,195844,624083,-82.07076872,33.36439668,"Augusta-Richmond County, Georgia",225
5531000,24580,Green Bay,Wisconsin,55,104057,330292,-87.98958128,44.51504932,"Green Bay, Wisconsin",226
1258715,38940,Port St. Lucie,Florida,12,164603,520710,-80.38835365,27.27956353,"Port St. Lucie, Florida",227
2200975,10780,Alexandria,Louisiana,22,47723,149189,-92.47014864,31.2922424,"Alexandria, Louisiana",228
4715400,17420,Cleveland,Tennessee,47,41285,128479,-84.87071894,35.18174133,"Cleveland, Tennessee",229
2338740,30340,Lewiston,Maine,23,36592,113023,-70.16806282,44.09143918,"Lewiston, Maine",230
1369000,42340,Savannah,Georgia,13,136286,418373,-81.17843836,32.0279862,"Savannah, Georgia",231
177256,46220,Tuscaloosa,Alabama,1,90468,277494,-87.52655333,33.23464618,"Tuscaloosa, Alabama",232
2756896,41060,St. Cloud,Minnesota,27,65842,201868,-94.17180752,45.53391743,"St. Cloud, Minnesota",233
4805000,12420,Austin,Texas,48,790390,2421115,-97.75172102,30.30038084,"Austin, Texas",234
5340245,31020,Longview,Washington,53,36648,111956,-122.9629608,46.14598145,"Longview, Washington",235
2970000,44180,Springfield,Missouri,29,159498,487061,-93.29151369,37.19426862,"Springfield, Missouri",236
1875428,45460,Terre Haute,Indiana,18,60785,184875,-87.37626062,39.46538841,"Terre Haute, Indiana",237
3775000,49180,Winston-Salem,North Carolina,37,229617,688471,-80.26100794,36.10287805,"Winston-Salem, North Carolina",238
1380508,47580,Warner Robins,Georgia,13,66588,198193,-83.65261715,32.5975019,"Warner Robins, Georgia",239
4815976,17780,College Station,Texas,48,93857,277824,-96.29596324,30.58522062,"College Station, Texas",240
4147000,32780,Medford,Oregon,41,74907,221644,-122.8536491,42.33718803,"Medford, Oregon",241
3734200,27340,Jacksonville,North Carolina,37,70145,207298,-77.39397885,34.72865362,"Jacksonville, North Carolina",242
1571550,46520,Urban Honolulu,Hawaii,15,337256,995638,-157.8459724,21.32934645,"Urban Honolulu, Hawaii",243
5548000,31540,Madison,Wisconsin,55,233209,687077,-89.39235566,43.08265628,"Madison, Wisconsin",244
2606020,13020,Bay City,Michigan,26,34932,102821,-83.88861166,43.59030616,"Bay City, Michigan",245
1639700,26820,Idaho Falls,Idaho,16,56813,165608,-112.0363071,43.48713903,"Idaho Falls, Idaho",246
3719000,20500,Durham,North Carolina,37,228330,664310,-78.90315097,35.97937006,"Durham, North Carolina",247
3728000,24660,Greensboro,North Carolina,37,269666,784101,-79.82680367,36.09559328,"Greensboro, North Carolina",248
2241155,29340,Lake Charles,Louisiana,22,71993,207320,-93.21416123,30.20222484,"Lake Charles, Louisiana",249
664224,41500,Salinas,California,6,150441,432858,-121.631737,36.68843779,"Salinas, California",250
670098,42220,Santa Rosa,California,6,167815,482650,-122.7066742,38.44584686,"Santa Rosa, California",251
524550,22900,Fort Smith,Arkansas,5,86209,247072,-94.36947026,35.34926715,"Fort Smith, Arkansas",252
466820,43420,Sierra Vista,Arizona,4,43888,125663,-110.3153905,31.56295279,"Sierra Vista, Arizona",253
5367000,44060,Spokane,Washington,53,208916,597919,-117.4330034,47.66705084,"Spokane, Washington",254
2553960,38340,Pittsfield,Massachusetts,25,44737,127859,-73.26052062,42.45169967,"Pittsfield, Massachusetts",255
137000,26620,Huntsville,Alabama,1,180105,514465,-86.6412082,34.69878395,"Huntsville, Alabama",256
5305280,13380,Bellingham,Washington,53,80885,230677,-122.4686839,48.75430611,"Bellingham, Washington",257
533400,26300,Hot Springs,Arkansas,5,35193,100089,-93.04976045,34.49019556,"Hot Springs, Arkansas",258
631960,25260,Hanford,California,6,53967,152981,-119.6544039,36.32634773,"Hanford, California",259
120104,19460,Decatur,Alabama,1,55683,157425,-86.99051218,34.57296982,"Decatur, Alabama",260
